Country,Year,Population (Thousands)
India,2024,1450935.79
China,2024,1408975.00
United States,2024,340110.99
Indonesia,2024,283487.93
Pakistan,2024,251269.16
Nigeria,2024,232679.48
Brazil,2024,211998.57
Bangladesh,2024,173562.36
Russian Federation,2024,143533.85
Ethiopia,2024,132059.77
Mexico,2024,130861.01
Japan,2024,123975.37
Egypt Arab Rep.,2024,116538.26
Philippines,2024,115843.67
Congo Dem. Rep.,2024,109276.26
Viet Nam,2024,100987.69
Iran Islamic Rep.,2024,91567.74
Turkiye,2024,85518.66
Germany,2024,83510.95
Thailand,2024,71668.01
United Kingdom,2024,69226.00
Tanzania,2024,68560.16
France,2024,68516.70
South Africa,2024,64007.19
Italy,2024,58986.02
Kenya,2024,56432.94
Myanmar,2024,54500.09
Colombia,2024,52886.36
Korea Rep.,2024,51751.07
Sudan,2024,50448.96
Uganda,2024,50015.09
Spain,2024,48807.14
Algeria,2024,46814.31
Iraq,2024,46042.01
Argentina,2024,45696.16
Afghanistan,2024,42647.49
Canada,2024,41288.60
Yemen Rep.,2024,40583.16
Morocco,2024,38081.17
Angola,2024,37885.85
Ukraine,2024,37860.22
Poland,2024,36554.71
Uzbekistan,2024,36361.86
Malaysia,2024,35557.67
Saudi Arabia,2024,35300.28
Mozambique,2024,34631.77
Ghana,2024,34427.41
Peru,2024,34217.85
Madagascar,2024,31964.96
Cote d'Ivoire,2024,31934.23
Nepal,2024,29651.05
Cameroon,2024,29123.74
Venezuela RB,2024,28405.54
Australia,2024,27204.81
Niger,2024,27032.41
Korea Dem. People's Rep.,2024,26498.82
Syrian Arab Republic,2024,24672.76
Mali,2024,24478.60
Burkina Faso,2024,23548.78
Sri Lanka,2024,21916.00
Malawi,2024,21655.29
Zambia,2024,21314.96
Kazakhstan,2024,20592.57
Chad,2024,20299.12
